72.1695 	EXP 	fixation: autoDraw = False
72.1695 	EXP 	text: autoDraw = False
72.1695 	EXP 	text: height = 0.05
72.1695 	EXP 	text: height = 0.05
72.1695 	EXP 	text: height = 0.05
72.1695 	EXP 	text: text = 'GBP 100 today or GBP 150 after 176 days'
72.1695 	EXP 	fixation: autoDraw = True
73.1579 	EXP 	text: autoDraw = True
73.1689 	EXP 	fixation: autoDraw = False
73.4489 	EXP 	New trial (rep=3, index=2): {'reward_today': 11, 'future_reward': 30, 'delay': 7}
73.4569 	DATA 	Keypress: t
73.4693 	EXP 	fixation: autoDraw = False
73.4693 	EXP 	text: autoDraw = False
73.4693 	EXP 	text: height = 0.05
73.4693 	EXP 	text: height = 0.05
73.4693 	EXP 	text: height = 0.05
73.4693 	EXP 	text: text = 'GBP 11 today or GBP 30 after 7 days'
73.4693 	EXP 	fixation: autoDraw = True
74.4586 	EXP 	text: autoDraw = True
74.4702 	EXP 	fixation: autoDraw = False
74.6047 	EXP 	New trial (rep=3, index=3): {'reward_today': 90, 'future_reward': 100, 'delay': 170}
74.6124 	DATA 	Keypress: l
74.6249 	EXP 	fixation: autoDraw = False
74.6249 	EXP 	text: autoDraw = False
74.6249 	EXP 	text: height = 0.05
74.6249 	EXP 	text: height = 0.05
74.6249 	EXP 	text: height = 0.05
74.6249 	EXP 	text: text = 'GBP 90 today or GBP 100 after 170 days'
74.6249 	EXP 	fixation: autoDraw = True
75.6137 	EXP 	text: autoDraw = True
75.6247 	EXP 	fixation: autoDraw = False
75.8607 	EXP 	New trial (rep=3, index=4): {'reward_today': 15, 'future_reward': 35, 'delay': 13}
75.8683 	DATA 	Keypress: t
75.8805 	EXP 	fixation: autoDraw = False
75.8805 	EXP 	text: autoDraw = False
75.8805 	EXP 	text: height = 0.05
75.8805 	EXP 	text: height = 0.05
75.8805 	EXP 	text: height = 0.05
75.8805 	EXP 	text: text = 'GBP 15 today or GBP 35 after 13 days'
75.8805 	EXP 	fixation: autoDraw = True
76.8694 	EXP 	text: autoDraw = True
76.8807 	EXP 	fixation: autoDraw = False
77.3156 	EXP 	New trial (rep=3, index=5): {'reward_today': 134, 'future_reward': 200, 'delay': 207}
77.3240 	DATA 	Keypress: l
77.3356 	EXP 	fixation: autoDraw = False
77.3356 	EXP 	text: autoDraw = False
77.3356 	EXP 	text: height = 0.05
77.3356 	EXP 	text: height = 0.05
77.3356 	EXP 	text: height = 0.05
77.3356 	EXP 	text: text = 'GBP 134 today or GBP 200 after 207 days'
77.3356 	EXP 	fixation: autoDraw = True
78.3134 	EXP 	text: autoDraw = True
78.3356 	EXP 	fixation: autoDraw = False
78.7161 	DATA 	Keypress: t
78.7273 	EXP 	New trial (rep=3, index=6): {'reward_today': 78, 'future_reward': 80, 'delay': 162}
78.7466 	EXP 	fixation: autoDraw = False
78.7466 	EXP 	text: autoDraw = False
78.7466 	EXP 	text: height = 0.05
78.7466 	EXP 	text: height = 0.05
78.7466 	EXP 	text: height = 0.05
78.7466 	EXP 	text: text = 'GBP 78 today or GBP 80 after 162 days'
78.7466 	EXP 	fixation: autoDraw = True
78.9942 	DATA 	Keypress: l
79.1831 	DATA 	Keypress: t
79.3275 	DATA 	Keypress: l
79.4715 	DATA 	Keypress: t
79.6157 	DATA 	Keypress: l
79.7356 	EXP 	text: autoDraw = True
79.7468 	EXP 	fixation: autoDraw = False
79.7942 	EXP 	New trial (rep=3, index=7): {'reward_today': 67, 'future_reward': 75, 'delay': 119}
79.8019 	DATA 	Keypress: t
79.8140 	EXP 	fixation: autoDraw = False
79.8140 	EXP 	text: autoDraw = False
79.8140 	EXP 	text: height = 0.05
79.8140 	EXP 	text: height = 0.05
79.8140 	EXP 	text: height = 0.05
79.8140 	EXP 	text: text = 'GBP 67 today or GBP 75 after 119 days'
79.8140 	EXP 	fixation: autoDraw = True
80.6166 	DATA 	Keypress: l
80.8025 	EXP 	text: autoDraw = True
80.8136 	EXP 	fixation: autoDraw = False
81.1279 	EXP 	New trial (rep=3, index=8): {'reward_today': 27, 'future_reward': 50, 'delay': 21}
81.1360 	DATA 	Keypress: t
81.1472 	EXP 	fixation: autoDraw = False
81.1472 	EXP 	text: autoDraw = False
81.1472 	EXP 	text: height = 0.05
81.1472 	EXP 	text: height = 0.05
81.1472 	EXP 	text: height = 0.05
81.1472 	EXP 	text: text = 'GBP 27 today or GBP 50 after 21 days'
81.1472 	EXP 	fixation: autoDraw = True
82.1356 	EXP 	text: autoDraw = True
82.1470 	EXP 	fixation: autoDraw = False
82.1833 	EXP 	New trial (rep=3, index=9): {'reward_today': 40, 'future_reward': 55, 'delay': 62}
82.1910 	DATA 	Keypress: l
82.2024 	EXP 	fixation: autoDraw = False
82.2024 	EXP 	text: autoDraw = False
82.2024 	EXP 	text: height = 0.05
82.2024 	EXP 	text: height = 0.05
82.2024 	EXP 	text: height = 0.05
82.2024 	EXP 	text: text = 'GBP 40 today or GBP 55 after 62 days'
82.2024 	EXP 	fixation: autoDraw = True
82.6374 	DATA 	Keypress: t
83.0262 	DATA 	Keypress: l
83.1918 	EXP 	text: autoDraw = True
83.2021 	EXP 	fixation: autoDraw = False
83.4170 	DATA 	Keypress: t
83.4267 	EXP 	New trial (rep=4, index=0): {'reward_today': 40, 'future_reward': 55, 'delay': 62}
83.4359 	EXP 	fixation: autoDraw = False
83.4359 	EXP 	text: autoDraw = False
83.4359 	EXP 	text: text = 'GBP 40 today or GBP 55 after 62 days'
83.4359 	EXP 	fixation: autoDraw = True
83.6597 	DATA 	Keypress: l
83.8277 	DATA 	Keypress: t
84.0262 	DATA 	Keypress: l
84.1818 	DATA 	Keypress: t
84.3380 	DATA 	Keypress: l
84.4245 	EXP 	text: autoDraw = True
84.4357 	EXP 	fixation: autoDraw = False
84.5042 	EXP 	New trial (rep=4, index=1): {'reward_today': 67, 'future_reward': 75, 'delay': 119}
84.5117 	DATA 	Keypress: t
84.5173 	EXP 	fixation: autoDraw = False
84.5173 	EXP 	text: autoDraw = False
84.5173 	EXP 	text: height = 0.05
84.5173 	EXP 	text: height = 0.05
84.5173 	EXP 	text: height = 0.05
84.5173 	EXP 	text: text = 'GBP 67 today or GBP 75 after 119 days'
84.5173 	EXP 	fixation: autoDraw = True
84.6312 	DATA 	Keypress: l
84.7644 	DATA 	Keypress: t
84.8867 	DATA 	Keypress: l
85.0100 	DATA 	Keypress: t
85.0978 	DATA 	Keypress: l
85.2981 	DATA 	Keypress: l
85.3192 	DATA 	Keypress: t
85.5060 	EXP 	text: autoDraw = True
85.5171 	EXP 	fixation: autoDraw = False
85.6412 	EXP 	New trial (rep=4, index=2): {'reward_today': 78, 'future_reward': 80, 'delay': 162}
85.6492 	DATA 	Keypress: t
85.6587 	EXP 	fixation: autoDraw = False
85.6587 	EXP 	text: autoDraw = False
85.6587 	EXP 	text: height = 0.05
85.6587 	EXP 	text: height = 0.05
85.6587 	EXP 	text: height = 0.05
85.6587 	EXP 	text: text = 'GBP 78 today or GBP 80 after 162 days'
85.6587 	EXP 	fixation: autoDraw = True
85.6935 	DATA 	Keypress: l
86.6466 	EXP 	text: autoDraw = True
86.6577 	EXP 	fixation: autoDraw = False
